山形県3区,長谷川 剛,34,共産,新
山形県3区,吉泉 秀男,64,社民,前
山形県3区,加藤 紘一,73,自民,前
山形県3区,佐藤 丈晴,45,維新,新
山形県3区,阿部 寿一,53,無所,新
福島県1区,亀岡 偉民,57,自民,元
福島県1区,大場 秀樹,43,民主,新
福島県1区,石原 洋三郎,39,未来,前
福島県1区,渡部 チイ子,59,共産,新
福島県2区,斎藤 康雄,63,民主,新
福島県2区,根本 匠,61,自民,元
福島県2区,緑川 一徳,31,維新,新
福島県2区,平 善彦,60,共産,新
福島県2区,太田 和美,33,未来,前
福島県3区,小山田 智枝,43,共産,新
福島県3区,菅野 佐智子,59,自民,新
福島県3区,玄葉 光一郎,48,民主,前
福島県4区,小熊 慎司,44,維新,新
福島県4区,菅家 一郎,57,自民,新
福島県4区,原田 俊広,53,共産,新
福島県4区,小川 右善,63,社民,新
福島県5区,吉田 英策,53,共産,新
福島県5区,菅本 和雅,45,みんな,新
福島県5区,吉田 泉,63,民主,前
福島県5区,坂本 剛二,68,自民,元
福島県5区,松本 喜一,64,未来,新
福島県5区,宇佐美 登,45,維新,元
茨城県1区,武藤 優子,48,未来,新
茨城県1区,海老沢 由紀,38,維新,新
茨城県1区,田所 嘉徳,58,自民,新
茨城県1区,福島 伸享,42,民主,前
茨城県1区,田谷 武夫,61,共産,新
茨城県2区,石津 政雄,65,民主,前
茨城県2区,額賀 福志郎,68,自民,前
茨城県2区,梅沢 田鶴子,56,共産,新
茨城県2区,原田 雅也,43,みんな,新
茨城県3区,前田 善成,45,維新,新
茨城県3区,小泉 俊明,55,未来,前
茨城県3区,小林 恭子,62,共産,新
茨城県3区,葉梨 康弘,53,自民,元
茨城県4区,高野 守,53,民主,前
茨城県4区,梶山 弘志,57,自民,前
茨城県4区,宇野 周治,62,共産,新
茨城県5区,福田 明,56,共産,新
茨城県5区,石川 昭政,40,自民,新
茨城県5区,大畠 章宏,65,民主,前
茨城県6区,狩野 岳也,48,無所,新
茨城県6区,栗山 天心,54,未来,新
茨城県6区,深沢 裕,41,維新,新
茨城県6区,青木 道子,62,共産,新
茨城県6区,丹羽 雄哉,68,自民,元
茨城県6区,大泉 博子,62,民主,前
茨城県7区,筒井 洋介,33,維新,新
茨城県7区,永岡 桂子,59,自民,前
茨城県7区,白畑 勇,60,共産,新
茨城県7区,中村 喜四郎,63,無所,前
茨城県7区,柳田 和己,62,民主,前
栃木県1区,荒木 大樹,41,みんな,新
栃木県1区,船田 元,59,自民,元
栃木県1区,田部 明男,57,共産,新
栃木県1区,石森 久嗣,50,民主,前
栃木県2区,藤井 豊,64,共産,新
栃木県2区,西川 公也,69,自民,元
栃木県2区,柏倉 祐司,43,みんな,新
栃木県2区,福田 昭夫,64,民主,前
栃木県3区,秋山 幸子,61,共産,新
栃木県3区,渡辺 喜美,60,みんな,前
栃木県3区,簗 和生,33,自民,新
栃木県4区,早乙女 利次,65,共産,新
栃木県4区,藤岡 隆雄,35,みんな,新
栃木県4区,工藤 仁美,57,民主,前
栃木県4区,山岡 賢次,69,未来,前
栃木県4区,佐藤 勉,60,自民,前
栃木県5区,茂木 敏充,57,自民,前
栃木県5区,富岡 芳忠,46,みんな,前
栃木県5区,川上 均,56,共産,新
群馬県1区,後藤 新,52,未来,新
群馬県1区,上野 宏史,41,維新,新
群馬県1区,生方 秀男,64,共産,新
群馬県1区,宮崎 岳志,42,民主,前
群馬県1区,佐田 玄一郎,59,自民,前
群馬県2区,桑原 功,67,民主,前
群馬県2区,井野 俊郎,32,自民,新
群馬県2区,関口 直久,62,共産,新
群馬県2区,石関 貴史,40,維新,前
群馬県3区,長谷川 嘉一,60,未来,新
群馬県3区,柿沼 正明,47,民主,前
群馬県3区,笹川 博義,46,自民,新
群馬県3区,渋沢 哲男,53,共産,新
群馬県4区,福田 達夫,45,自民,新
群馬県4区,青木 和也,25,民主,新
群馬県4区,萩原 貞夫,63,共産,新
群馬県4区,宮原田 綾香,28,維新,新
群馬県5区,小林 人志,61,社民,新
群馬県5区,糸井 洋,44,共産,新
群馬県5区,小渕 優子,39,自民,前
埼玉県1区,武正 公一,51,民主,前
埼玉県1区,川上 康正,48,社民,新
埼玉県1区,日色 隆善,47,みんな,新
埼玉県1区,青柳 伸二,65,共産,新
埼玉県1区,村井 英樹,32,自民,新
埼玉県2区,石田 勝之,57,民主,前
埼玉県2区,新藤 義孝,54,自民,前
埼玉県2区,松本 佳和,47,みんな,新
埼玉県2区,奥田 智子,44,共産,新
埼玉県3区,宮瀬 英治,35,みんな,新
埼玉県3区,細川 律夫,69,民主,前
埼玉県3区,谷古宇 勘司,62,維新,新
埼玉県3区,黄川田 仁志,42,自民,新
埼玉県3区,広瀬 伸一,56,共産,新
埼玉県4区,神風 英男,51,民主,前
埼玉県4区,青柳 仁士,34,維新,新
埼玉県4区,豊田 真由子,38,自民,新
埼玉県4区,桜井 晴子,56,共産,新
埼玉県4区,小笠原 洋輝,28,無所,新
埼玉県5区,大石 豊,52,共産,新
埼玉県5区,枝野 幸男,48,民主,前
埼玉県5区,牧原 秀樹,41,自民,元
埼玉県5区,藤島 利久,50,未来,新
埼玉県6区,院田 浩利,45,諸派,新
埼玉県6区,大島 敦,55,民主,前
埼玉県6区,中根 一幸,43,自民,元
埼玉県6区,戸口 佐一,62,共産,新
埼玉県6区,磯村 健治,63,維新,新
埼玉県7区,小宮山 泰子,47,未来,前
埼玉県7区,神山 佐市,58,自民,新
埼玉県7区,矢口 健一,40,維新,新
埼玉県7区,長沼 チネ,62,共産,新
埼玉県7区,島田 智哉子,50,民主,新
埼玉県8区,小野塚 勝俊,40,民主,前
埼玉県8区,辻 源巳,41,共産,新
埼玉県8区,西川 浩,55,未来,新
埼玉県8区,並木 正芳,63,維新,元
埼玉県8区,柴山 昌彦,47,自民,前
埼玉県9区,工藤 武,48,共産,新
埼玉県9区,浦沢 将,45,維新,新
埼玉県9区,大塚 拓,39,自民,元
埼玉県9区,五十嵐 文彦,64,民主,前
埼玉県9区,松浦 武志,49,未来,新
埼玉県10区,坂本 祐之輔,57,維新,新
